Model,MAE,MSE,RMSE
ARIMA,1460.1568511991268,3790276.7680261363,1946.8633151883407
SARIMA,1551.9806157671387,4129317.01786883,2032.0720995744293
Prophet,518.6774957986521,520778.939128764,721.6501500926637
LSTM,285.2552760416671,112904.16008302526,336.0121427612777
